soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
29,Evet,"I İçeri girer girmez oğlunun durumunu sordu II Omuz omuza bir mücadele oldu III Mırın kırın etme de dediklerimi yap IV Karşımda oturan adamın iri iri gözleri vardı","Yukarıda numaralandırılmış cümlelerin hangisinde ikilemeyi oluşturan sözcüklerin tek başına bir anlamı yoktur",I,II,III,IV,
30,Evet,"Melike bilgisayarının şifresini unutmuştur... sıkı fıkı... havlıyor... Çoruh Nehri... Sıcak bir tebessüm...","Buna göre Melikenin bilgisayarının şifresi aşağıdakilerden hangisidir","FAKA","SAĞA","KARA","SAKA",
31,Evet,"Durup ortalığı dinledik Çekirgelerin cırlamasından başka ses duyulmuyordu... fısıltılar duyuldu... Şıpırtılarla yüzüyorlardı Seslerini duyuyordum","Bu parçadaki altı çizili sözcüklerden hangisi yansıma değildir","cırlamasından","fısıltılar","şıpırtılarla","seslerini",
32,Evet,"Aşağıdaki cümlelerin hangisinde yansıma sözcüklerden oluşmuş bir ikileme vardır","Virajda hızlarını alamayan iki araba burun buruna çarpıştı","Karşıdan karşıya geçerken göz göze geldiler","Şırıl şırıl akan derenin kenarında yatmak ona huzur veriyordu","Çocuk yılanı görünce bağıra bağıra kaçtı",
33,Evet,"Bu tarihi mekânda Ayasofyada bulunmak hele hele sizden bilgi almak bizim için bir ayrıcalıktır","Bu cümledeki altı çizili ikilemenin yerine aşağıdakilerden hangisi getirilebilir","özellikle","nihayet","belki","fakat",
34,Evet,"İkilemeler farklı yollarla oluşturulabilir","Buna göre aşağıdaki cümlelerin hangisinde ikileme farklı bir yolla kurulmuştur","Ucuz pahalı demeden her şeyden alıyordu","İleri geri konuşma haddini bil diye azarladı","Sabah akşam aynı yere gelip dikilmesinden bıktım","Boncuk boncuk yaşlar döktü gözünden",
35,Evet,"Her zaman işleri ağır aksak yapıyorsunuz","Bu cümledeki altı çizili sözün anlamı aşağıdakilerden hangisidir","Pek yavaş olarak","Uzun uzadıya","Dikkatli olarak","Çok aceleci biçimde",
36,Evet,"Terledi yapraklar / Hışırdadı dallar boynuma / Başları dönerek eriştiler buluta / Avuçlarım yapıştığında aydınlığa A Kadir BİLGİN","Bu dizelerdeki sözcüklerden hangisi yansımadır","terledi","hışırdadı","dönerek","yapıştığında",
37,Evet,"Aşağıdaki cümlelerin hangisinde altı çizili sözcük soyut anlamlıdır","Işık gözlerimi rahatsız ettiğinden yer değiştirdim","Seyirciler beğenilerini dile getirdiler","İki gündür sert bir yatakta yatıyorum","Onun soğuk tavırları herkesin dikkatini çekmişti",
38,Evet,"Geliyor Boğaziçinden doğru / Bir iskeleden kalkan vapurun sesi / Mavi sular üstünde yine / Bembeyaz Kız Kulesi Ziya Osman SABA","Bu şiirdeki sözcükler için aşağıdakilerden hangisi söylenemez","Mavi sözcüğü nitel anlamlıdır","Ses sözcüğü somut anlamlıdır","Doğru sözcüğü nicel anlamlıdır","Yine sözcüğü soyut anlamlıdır",
39,Evet,"I Kurşun ağır bir madendir II Masa ağır olduğu için taşınamadı III Ağır bir adam olduğu konuşmasından belli IV Bu köprüden ağır taşıtlar geçemez","Numaralanmış cümlelerin hangisinde ağır sözcüğü nitel anlamda kullanılmıştır",I,II,III,IV,
40,Evet,"Aşağıdakilerin hangisinde altı çizili sözcük tek başına somutken cümle içinde soyut bir anlam kazanmıştır","Şairlerin hayal gücü diğer insanlardan geniştir","Böyle yaparak kendinizi ateşe atıyorsunuz","Anne sevgisi hiçbir şeye benzemez","Hiçbir neden yokken beni azarladı",
41,Evet,"Sende yürek yok mu cümlesinde yürek sözcüğü mecaz anlama gelerek soyutlaşmıştır açıklaması","Aşağıdaki cümlelerin hangisinde altı çizili sözcük bu açıklamayı örneklendirmektedir","Bu camiler bu çeşmeler bu köprüler rastgele yapılmadı","Şiirimizin vazgeçilmez ışıklarından biri olarak ayrıldı aramızdan","Olumlu düşünceler insanda olumlu şeyleri çağrıştırır","Bahçeleri bahçelere toprak yollar bağlardı",
42,Evet,"Tüm dizelerin sonunda ses benzerliği vardır İnsan dışındaki bir varlığa insana ait özellik verilmiştir Bütün dizelerdeki hece sayısı eşittir","Aşağıdaki dörtlüklerden hangisi bu özelliklerin tümünü içermektedir","Durgun çayı köpüklendi Dadayın...","Hiçbir şeyde gözüm yok / Sen yanımda ol yeter...","Gâh eserim yeller gibi / Gâh tozarım yollar gibi...","Ay uykuya vardı laldır kelamı / Mehtaba sığınan sırlar ağladı / Şahitti yıldızlar almaz selamı / Dağların duvağı karlar ağladı",
43,Evet,"Abartma (mübalağa) Konuşturma (intak) Tezat (zıtlık) açıklamaları verilmiş","Buna göre aşağıdaki dizelerin hangisinde açıklaması verilen söz sanatlarının herhangi biri kullanılmamıştır","Alınız / Alınız gözlerimin önünden / Bu yeşil yeşil olmayan yosunu...","Rüzgâr eser dallarınız atışır / Kuşlarınız birbiriyle ötüşür...","Gülen çehremi görüp / Sanmayın beni bahtiyar...","Ağaçlar kalem olsa / Yaprağı kâğıt olsa... Deniz mürekkep olsa",
44,Evet,"Hem daktilo eski hem de ben eskidim... Yeter artık diyor tuşlarım hâlâ çalışıyor daha ne istiyorsun","Bu metinde aşağıdaki söz sanatlarından hangisi vardır","Abartma","Konuşturma","Karşıtlık","Onaylama",
45,Evet,"Ben bir ceviz ağacıyım Gülhane Parkında / Yapraklarım suda balık gibi kıvıl kıvıl / Yapraklarım ipek mendil gibi tiril tiril / Koparıver gözlerinin gülüm yaşını sil","Bu şiirde geçen söz sanatları aşağıdakilerin hangisinde doğru verilmiştir","Abartma - Konuşturma","Kişileştirme - Karşıtlık","Benzetme - Abartma","Konuşturma - Benzetme",

