soru_?d;metin_var_mi;metin;soru;a_sikki;b_sikki;c_sikki;d_sikki
11;Evet;(Anne temizlik... kalkt?, ba?lad?, saymad?, fark etti);Numaralanm?? fiillerden hangisiyle ilgili yap?lan de?erlendirme yanl??t?r?;I etken nesne almam??.;II etken nesne almam??.;III etken nesne almam??.;IV etken nesne alm??.
12;Hay?r;;Yukar?da numaralanm?? ?iirlerden hangisinde bütün fiiller etken ve geçi?sizdir?;I;II;III;IV
13;Evet;(Anadolu co?rafyas?...);Numaralanm?? cümlelerin hangisi yüklemin yerine göre di?erlerinden farkl?d?r?;I;II;III;IV
14;Hay?r;;Tablodaki numaralanm?? bölümlerin hangisinde yüklemin yeri özelli?i yanl?? belirtilmi?tir?;I;II;III;IV
15;Evet;(Da? keçileri...);Numaralanm?? cümleler yüklemin yerine göre grupland?r?l?rsa hangisi d??ar?da kal?r?;I;II;III;IV
16;Evet;"Bursa’da eski bir cami avlusu,
Küçük ?ad?rvanda ?ak?rdayan su.
Orhan zaman?ndan kalma bir duvar...
Onunla bir ya?ta ihtiyar ç?nar
Eliyor dört yana sakin bir günü.";Dörtlü?ün anlaml? ve kurall? bir cümle haline getirilmi? ?ekli hangisidir?;Bursa'da... sakin bir günü eliyor.;Avlu... dört yana eliyor.;Sakin bir günü eliyor...;Eski avlu... eliyor...
17;Evet;(Ay/Gün adlar? ve Kurum adlar?);A?a??daki cümlelerin hangisinde yaz?m yanl??? vard?r?;Balkonumuz...;Türkiye'de çevrenin korunmas?...;Kanun, 22 nisan 1962...;Radyodaki ses mi...
18;Evet;(Dutlar, Reformlar, Sabri Day?, Çocuklu?ununda);Yukar?da numaralanm?? cümlelerin hangilerinde yaz?m yanl??? yoktur?;I ve II;II ve III;I ve IV;III ve IV
19;Evet;(Küçük harfle ba?lama kural?);Bu aç?klama için bo?lu?a numaralanm?? cümlelerden hangileri getirilmelidir?;Yaln?z I;Yaln?z II;I ve II;II ve III
20;Evet;"(Yaz?t... ""bilgi"" kelimesi... gök bilim...)";Bu metindeki yaz?m yanl??? a?a??dakilerden hangisiyle ilgilidir?;Say?lar?n yaz?m?;Birle?ik kelimelerin yaz?m?;Büyük harflerin yaz?m?;Kinin yaz?m?
21;Evet;(Ak?amüstü ?ehir gürültülüydü...);Bo? b?rak?lan yerlere s?ras?yla hangi noktalama i?aretleri getirilmelidir?;( ) (.) (...) () ();( , ) ( . ) ( ! );) (,) (.) (:) (!);( : ) ( . )
22;Hay?r;;Hangisi bu metinlerde bo? b?rak?lan yerlere s?ras?yla getirilemez?;"(,) ( ; )";) (,);(') (,) (.);"(:) ("") ("")"
23;Evet;(Sabah erkenden kalkt?m...);Bo? b?rak?lan yerlere s?ras?yla hangi noktalama i?aretleri getirilmelidir?;I;II;III;IV
24;Evet;(Otlarla kapland?... Keçiboynuzu... Bitkiler...);Bu metindeki numaralanm?? yerlerden hangisine üç nokta (...) getirilmelidir?;I;II;III;IV
25;Evet;"Pazar yerinde her ?ey vard?: taze sebzeler, meyveler,
baharatlar … Nane, fesle?en, kekik ve daha birçok koku ortal??? sarm??t? ! Renk renk ?allar, i?lemeli çantalar ve el yap?m? tak?lar da dikkat çekiciydi : El i?i ürünler aras?nda dantel masa örtüleri, yün çoraplar, bez bebek-
ler . Ne ararsan bulunurdu bu küçük ama canl? pazarda.";Bu metinde numaralanm?? noktalama i?aretlerinden hangisinin kullan?m? do?rudur?;I;II;III;IV
26;Hay?r;;Numaralanm?? cümlelerden hangisinde yay ayraçl? yere üç nokta getirilmelidir?;Sergide eserler vard?: ();Bitkiler de stres ya?ar... ();Hata yapmak... ();S?ra gecelerinde... ()
27;Hay?r;;A?a??daki cümlelerin hangisinde anlat?m bozuklu?u yoktur?;Duymazdan geleceksin...;Emek harcad?m...;Umutlar tükenmez, artar.;Deniz kenar?na iner... yürürdüm.
28;Evet;"(Arkada??n? tan?r, ...) Bu cümle;
I. ona güvenirdi.
II. çok severdi.
III. onunla konu?may? severdi.";Bu cümle hangileriyle tamamlan?rsa anlat?m bozuklu?u olu?maz?;Yaln?z I;Yaln?z II;I ve III;II ve III
29;Hay?r;;Numaralanm?? cümlelerden hangisinde anlat?m bozuklu?u yap?lm??t?r?;Tiyatroya gittik...;Masraf yapt?k...;Sorumlulu?unu al?yor ne de...;Umudunu koruyan...
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
