ID,Metni Var mı,Soru Metni,Soru Kökü,A,B,C,D
11,Hayır,,Aşağıda tanıtılan meyvelerin hangisinde bu bilgilerin _tümüne_ yer verilmiştir? Bilinen başka adı Yetiştiği yer Nasıl yendiği Fiziki görünümü,"Avokado, son zamanlarda hayatımıza giren en popüler tropik meyveler arasında yer alıyor. Salatalar, kahvaltılar ve özel meze tariflerinde sıklıkla kullanılan bu faydalı meyve, potasyum açısından oldukça zengin ve cilde de iyi geliyor. Ayrıca lifli yapısıyla gün boyunca tok tutuyor ve bu nedenle diyet listelerinin başında yer alıyor. Ana vatanı Meksika olan avokado, ülkemizde daha çok ılıman iklime sahip Antalya, Alanya, Muğla ve Mersin illerinde yetiştiriliyor.","Halk arasında kamkat olarak da bilinen kumkuat meyvesi, ülkemizde özellikle Rize'de yetiştiriliyor. Farklı görünümü ve tadıyla minyatür bir mandalinayı andıran kumkuat, kabukları soyulmadan yeniyor ve ağızda ekşi tatlı bir hoş koku bırakıyor. Diğer turunçgillerde olduğu gibi kumkuatın da sağlığa birçok faydası bulunuyor.","Mutfağımıza yeni yeni girmeye başlayan lezzetlerden mango, son yıllarda Manavgat'ta yetiştirilmeye başlandı. İklim koşulları nedeniyle, ülkemizde yetiştirilmeye çok uygun olmadığı için bu tropik meyve çok fazla bulunmuyor ve hâliyle faydaları da arka planda kalıyor. İyi bir folat kaynağı olan bu meyve bağışıklığı artırmaya yardımcı oluyor.","Çin greyfurtu olarak bilinen pomelo, dünyada daha çok Güney Asya'da ve Kaliforniya'da yetiştiriliyor. Diğer narenciye türleri gibi C vitamini bakımından zengin bir meyve olarak pomelo, ülkemizde henüz pek fazla bilinmiyor. Ancak Antalya'nın iklimine ayak uyduran bu meyvenin, tanesi yaklaşık iki kilo ağırlığında ve her ne kadar soyması zahmetli olsa da meyve kokteyllerine çok yakışıyor."
12,Evet,"İç monolog tekniğinin kullanıldığı modern roman ve hikâyelerde anlatıcı aradan çekilerek aktarma görevini bırakır, okura roman kişisinin zihnini bir sinema gibi seyrettirir. Kahraman zihninden geçen düşünceleri, hatıraları, çağrışımları kendi kendine konuşuyor gibi anlatır. Bu, âdeta sessiz bir konuşmadır. Düşünceler arasında mantıksal bir bağ vardır. Konuşma diline yakın bir dil kullanılır.",Buna göre aşağıdaki metinlerin hangisinde iç monolog tekniği kullanılmıştır?,"Yavaş yavaş merdivenleri indi. Orta kata gelince müdürün odası gözüne ilişti. Şakir Bey'i bir kere görmek fena olmaz, diye düşündü. Eşi hakkında ondan malumat alabilirdi, hademe ile içeriye haber gönderdi.","Yazık ki Behçet bütün bunları anlayabilecek bir yaradılışta değildi. O, bütün mahçuplar gibi yalnız kendisine bakıyor, her şeyi kendi değerleriyle ölçüyordu. Eşini kendisine üstün buluyor, ezilmemek için elinden geldiği kadar ondan uzak yaşıyordu.",Sabah erken kalktım. Giyindim ve hemen yola çıktım. Otobüs durağında otobüs bekliyordum. Hava soğuktu. Paltoma iyice sarıldım. Otobüs bir türlü gelmiyordu. Zaman geçiyordu. Geç kalmak üzereydim. Taksiye işaret ettim ve taksi durdu.,"Kaç yaşımda olduğumu ve arkamda bıraktığım geçmişi unuttuğum gün, kim bilir, ne kadar rahat edeceğim. Lakin bu hâle vardığım vakit de gene bu engin ve kurak ovaların korkunç genişliğini hissetmekten kurtulamayacağım. Bu his, her an yüreğimi burkuyor ve başımı döndürüyor."
13,Evet,"Gurbet ve yalnızlık onun şiirlerinin anahtarı, onun kişiliğinin hayat hikâyesinin özetidir. O, yaradılışı gereği yalnızdır. Onun yalnızlığı belki de sonradan ortaya çıkan, yaşanan bir duygu değildir. O, bu duyguyu dünyaya beraberinde getirmiştir.",Aşağıdaki dizelerden hangisi bu parçada sözü edilen şaire ait olabilir?,Yıllardır ki bir kılıcım kapalı kında Kimsesizlik dört yanımda bir duvar gibi Muzdaribim bu duvarın dış tarafında Şefkatine inandığım biri var gibi,Yaşamak güzel şey doğrusu Üstelik hava da güzelse Hele gücün kuvvetin yerindeyse Elin ekmek tutmuşsa bir de Hele tertemizse gönlün Hele kar gibiyse alnın,"Gene dertlenirsin, hey deli gönül Hayal kırıklığına uğrarsın, gözlerin ağlar Nedir şu inadın? Haydi, hele gül Şiirler içinde sözlerin ağlar","Dostum diye inanıp sır söyleme sakın Ne kadar olsa da güvenilir ve yakın Sırrın sende bile durup gizlenmezken Durur mu hiç dostunda, iyi düşün"
14,Evet,"Dama, tarihi antik çağlara uzanan en eski oyunlardan biridir. Damanın Afganistan-Hindistan bölgesinde ortaya çıktığı, Persler üzerinden Orta Doğu coğrafyasına ve Anadolu üzerinden de Haçlı Seferleri ile dünyaya yayıldığı kabul edilmektedir. Oyun, Avrupa ve Amerika kıtalarında yaygınlaşırken değişim göstermiş; çapraz oynama tekniğiyle ülkelere özgü çeşitlilik kazanırken basitleşmiştir.",Bu metinde _dama_ oyunuyla ilgili aşağıdakilerden hangisine _değinilmemiştir_?,Tarihinin çok eskilere dayandığına,Haçlı Seferleri ile dünyaya yayıldığına,Çıkış noktasının Avrupa ve Amerika olduğuna,Farklı oynama tekniklerinin bulunduğuna
15,Hayır,,"Aşağıdaki metinlerin hangisinde bu cümlelerde ifade edilenlerden _herhangi birine_ değinilmemiştir? Karıncalar, işlevlerine göre bazı gruplar hâlinde yaşar. Karıncalar, kendi ağırlıklarının daha fazlasını taşıyabilir. Karıncalar, aralarında oluşturdukları sistem sayesinde kendilerini korumayı başarır.","Kültürümüzde mutfaklarımıza bereket getirdiklerine inandığımız karıncalar hakkında bilmediğimiz şeyler var. Mesela karıncalar, sandığımız kadar masum değil. Örneğin elektrik arızalarının yüzde 30'u onlar yüzünden meydana geliyor. Ayrıca karıncalar, dünyadaki biyokütlenin yaklaşık olarak yüzde 20'sini oluşturur. Yani dünyada her beş canlıdan biri karıncadır.","Karıncalar, kendi kütlelerinin 10 katı ağırlığı kaldırabilir. Kendi kütlelerinden kat kat büyük yiyecekleri parçalayabilir, kesebilir. Bu açıdan karıncaların sahip oldukları boyut dünya için idealdir. Zira karıncalar, kedi ya da köpek kadar iri olsalardı dünya için tehlikeli olabilirdi.","Karıncalar, sosyal canlılardır. Koloni hâlinde yaşar. İşçi, üreme, asker karınca olarak sınıflara ayrılır. Bütün koloni, kraliçe karıncayı korumak üzere çalışır. Hatta bu canlıların tarım yaptıkları bile keşfedildi. Karıncalar, yuvalarına bir alan yaparak burada mantar yetiştirir zor zamanlar için.","Karıncaların en önemli özelliği, bütün koloni olarak bir araya gelip süper organizma adı verilen sistemi kurabilmesidir. Bir koloni, bir kez süper organizma hâline gelirse dışarıdan çok büyük bir güç uygulamadan sarsılmaz bir yapı oluşur. Süper organizmanın amacı, öncelikle larvaları ve kraliçeyi korumaktır."
16,Evet,"Lebdeğmez (dudakdeğmez), genellikle Türk halk şiirinde yaygın olan ve içinde her iki dudağın birbirine veya alt dudağın üst dişlere dokunmasıyla ortaya çıkan seslerin kullanılmadığı şiir türüdür.","Bu bilgilere göre aşağıdaki dizelerden hangisi ""lebdeğmez"" örneğidir?",Güzelliğin on par'etmez Şu bendeki aşk olmasa Eğlenecek yer bulaman Gönlümdeki köşk olmasa,Dünyaya gelenler gider Hergiz gelmez yola gider Bizim hâlimizden haber Soranlara selam olsun,"Dikkat et, araştır, gözlerini aç Sanat her yiğidin kârı değildir Eser yazarının serindeki taç Altındandır, soğan zarı değildir","Evlerinin önü çardak Elif'in elinde bardak Sanki yeşil başlı ördek Yüzer Elif, Elif deyi"
17,Evet,"(I) İsveç'teki Gothenburg Üniversitesinden araştırmacılar, Finlandiya'nın Kokkola kentinde günümüzden 5000 yıl öncesinden kalan buluntular üzerinde çalışıyor. (II) Araştırmacılar, bu bölgede o dönemde yaşamış olan insanların beslenme biçimini de araştırıyor. (III) İlk araştırma sonuçları, bölgede arpa ve buğday yetiştirildiğini ortaya koymuş. (IV) Kazı alanında gübrede bulunan bir maddeye de rastlanmış. (V) Ancak bunun kanıtlanması için daha fazla araştırma yapılması gerekiyor.","Bu metinde numaralanmış cümlelerin _hangisinden sonra_ ""Bu bulgu, o dönemde bile insanların tarımda gübre kullandığını düşündürüyor."" cümlesi getirilirse anlam akışına uygun olur?",I,II,III,IV
18,Evet,"Bireyler, toplumu oluşturan bir bütünün parçalarıdır. Bu yüzden bireyin toplumun faydasını gözeterek işini en mükemmel şekilde yapması gerekir. Mesleği ne olursa olsun, ister öğretmen ister doktor ister pazarcı isterse bakkal olsun, yapacağı işi en iyisiyle yapma gayretinde olan insanların topluma faydası büyüktür. Yaptığımız her işe bu çerçeveden bakarsak mutsuzluk, yetersizlik, başarısızlık gibi duygulardan arınmış oluruz. Bireyin mutlu olduğu toplumda huzur tüm şiddetiyle kendini hissettirir. Maurois'in dediği gibi ""Çalışmak, sıkıntıyı, kötülüğü ve yoksulluğu uzaklaştırır.""","Bu metinde bireyin mutlu olması için, I. işlerini toplumun yararını gözeterek yapması, II. iyi bir mesleğe sahip olması, III. toplumdan bağımsız hareket edebilmesi, IV. işini en iyi şekilde yapma gayretinde olması durumlarından hangileri gerekli değildir?",I ve II,I ve III,II ve III,II ve IV
19,Evet,"I. Diğer kırlangıçlar önceleri bu duruma ses çıkarmamışlar. II. Bu yüzden serçenin gelip gitmesi, kırlangıçları rahatsız etmiş. III. Kırlangıçların yuvası ahşap, boş bir evin saçak altındaymış ve burada sıkışık halde pek çok kırlangıç yuvası varmış. IV. Fakat kırlangıç serçeyi yuvasına getirmeye başlayınca işler değişmiş. V. Günlerden bir gün kırlangıç ile serçe dost olmuşlar.",Numaralanmış cümleler anlamlı bir paragraf oluşturacak şekilde sıralandığında hangisi sondan ikinci cümle olur?,I.,II.,III.,IV.
20,Evet,"Yazılarımda anlatımın süsten, gösterişten, özentiden basmakalıp söyleyişlerden uzak olmasını yeğlerim. Düşüncelerimi değişikliğe uğratmam, gördüklerimi abartmadan aktarırım. Okuyucuyu hayal kırıklığına uğratmam. Sanat adına bile olsa gerçekleri değiştirmek, bir şeyler eklemek benim görüşüme aykırıdır, hiçbir detayı eksik bırakmam.",Parçada sözü edilen yazarın yapıtlarında görülen anlatım özelliği aşağıdakilerden hangisidir?,Özgünlüğü,Duruluk,Yalınlık,Tutarlılık
21,Evet,"Son on yıldır her müsabakaya katılan bu hızlı atlet, 2012'de iki kez kendi rekorunu kırmış ve 2015'teki son koşusunda ülkemize altın madalya kazandırmıştır.",Bu cümlede sözü edilen sporcuyla ilgili kesin olarak çıkarılacak yargı aşağıdakilerden hangisidir?,2012'de dünya rekoru kırmıştır.,2012'den önce müsabakalara katılmamıştır.,Atletizm dışındaki spor dallarıyla da ilgilenmiştir.,Yarışlarda en az bir defa birincilik kazanmıştır.
22,Evet,"Acaba dinozorların aile bağları güçlü müydü? 1920'lerde Moğolistan'da paleontologlar fosilleşmiş dinozor yuvaları buldular. Daha sonra yan yana bulunan kemik fosillerini inceleyen araştırmacılar, diş izlerinden yetişkin ve yavru dinozorların yiyecek paylaştığını çıkardılar. İskoçya yakınlarında Orta Jura döneminden kalma ayak izlerini bulan bilim insanları, vahşi olduğu düşünülen dinozorlarda bile ebeveyn bakımının gelişmiş olduğunu öne sürüyor. Dinozorların pençe şeklindeki ayak izlerini inceleyen araştırmacılar, vahşi doğalarına rağmen bu hayvanların annelerinden ayrılmadıklarını, tıpkı ördek yavruları gibi gözlemlediler. İzler, su kenarına içmek veya av peşinde koşmak için giden bir aileye ait görünüyor.",Bu parçaya getirilebilecek _en uygun_ başlık aşağıdakilerden hangisidir?,Dinozorların Yaşam Alanları,Dinozorların Aile Bağları,Dinozorların Yaşam Biçimleri,Dinozorların Gelişimleri
23,Evet,"Bir ödeve ""O gün bahçedeydik."" diye başlayan öğrencilere sorun bakalım hiç bahçe görmüşler mi? Görmüşlerdir elbette. Fakat bu bahçe nasıldır? Etrafı ne ile çevrilmiştir? İçinde hangi ağaçlar, ne gibi çiçekler vardır? Bahçeyi hangi mevsimde görmüşlerdir? Bu sorulara belli belirsiz cevaplar vereceklerdir. Çünkü alıcı gözüyle bakmamışlardır. Bu yüzden de hatırlarında kalan basmakalıp bir bahçedir.",Bu metinde aşağıdakilerden hangisi anlatılmıştır?,Çocukların gerçek bahçenin farkında olmadığı,Şehirlerdeki bahçelerin gün geçtikçe azaldığı,Çocukların yeşili sevmediği,Bahçelerin eski önemini kaybettiği
24,Evet,"Şiir, zengin simgeler, ritmik sözcükler, uyumlu sesler ve hece sayısı ile durakları bakımından eşdeğer olan, bir bütün oluşturan edebî anlatım biçimi, manzume, nazım. Her şiirin belirli bir konusu (teması) vardır; bu, şairin iletmek istediği duygudur. Şiirlerde sevgi, yalnızlık, özlem, pişmanlık, yaşama sevinci, karamsarlık gibi duygular ifade edilir.",Bu açıklamaya göre aşağıdaki şiirlerden hangisinin okuyucuya hissettirmek istediği duygu diğerlerinden _farklıdır_?,"Çocukluğum, ah çocukluğum, neredesin? Tahta atım, saltanatım, kurşun askerim. Neredesin?","Uçun kuşlar uçun, doğduğum yere; Şimdi dağlarında mor sümbül vardır. Ormanlarında bülbüller öter. O günler, o günler, o günler... İçimde bir inilti var, o yerden. O yerden bir bülbül var içimde.","Yolları tanımıyorum sensiz, Gözlerim doluyor özlemden. Sadece adını söyleyince ""anne"" diye, Yanımda bulurdum seni. Şimdi neredesin anne?","Küçük satıcı, küçük satıcı, Sen iyileşeceksin; iç bu ilacı. Baharda tarlalarda dolaşacağız yine, Değil mi gökler, ovalar?"
25,Evet,"(I) Anadolu eğitiminin temel hedefi, çocukların sözel dil gelişimine katkıda bulunmaktır. (II) Bu nedenle bu amaca uygun öğretim stratejileri, yöntemler uygulanır. (III) Öğretmenler, bu amaç doğrultusunda ellerinden geleni yapar. (IV) Bu yöntemlerden biri de öykü okuma etkinlikleridir. (V) Bu konuda çocuklarla gerektiğinde bire bir ilgilenilmelidir.",Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır?,I.,II.,III.,IV.
26,Evet,"Annesinin sevgiyle hazırladığı kahvaltı masası, henüz kurulmamıştı. Büşra, dışarıdaki sisli havayı izlerken bir karar vermek zorunda olduğunu biliyordu. Kapıyı çaldığında karşısında bekleyen tek şey, belki de yıllardır tanımadığı bir gerçekle karşılaşmaktı.",Bu parçanın anlatımında aşağıdakilerin hangisinden yararlanılmıştır?,Betimleme,Öyküleme,Örnekleme,Tanımlama
27,Evet,"İnsan, yaşamda parasızlığa dayanabilir. Bir süre açlığa, susuzluğa katlanabilir. Dünyada tek şeye katlanamaz: Sevgisizlik. İnsan sevgisiz kaldığı an, insanı insan yapan tüm meziyetleri elinden uçar. Geriye çılgın bir sel gibi çevresini yok eden bir insan kalır.",Bu paragrafın ana düşüncesi hangisidir?,Paranın satın alamayacağı şeyler de vardır.,"İnsan, pek çok zorluğa katlanabilir.","Sevgi, insanları birbirine bağlar.",Katlanılamayacak tek şey sevgisizliktir.
28,Evet,"Okumak zihin gelişimi için çok önemlidir. Bilinçli ve düzenli bir okuma uygulaması yapan insan değişik düşünceleri yargılama, bunlar üzerinde kurulmuş mantığı tespit etme yeteneği kazanır. Bilgiler okumayla artırılır, doğadaki güzelliklerin inceliği okumayla kavranır, düşünce çabukluğu okumayla elde edilir. Kültürlü bir insan olmanın en etkili yoludur okumak. Bireyleri gerçek anlamda okuyan toplumlar, ileri ve uygar toplum olurlar.",Bu parçaya getirilebilecek _en uygun başlık_ aşağıdakilerden hangisidir?,Okuma Çalışmaları,Dünyadaki Okuma Oranları,İnsan ve Kitaplar,Okumanın Faydaları
29,Evet,"Çarşıya, pazara çıktığımda gördüklerim beni adamakıllı şaşırtıyor. İnsanların kıtlığa uğramış gibi alışveriş edişine, arabalar dolusu yiyecek maddesi yüklenip götürüşüne bir anlam veremiyorum. Bir gün yolunuz bir alışveriş merkezine düşerse bu söylediklerimi düşünün. Ben, bu merkezlerin nasıl yerler olduğunu anlamaya çalışırken başıma ağrılar giriyor. Hayatın bu kadar karmaşık, bu kadar pahalı ve lüks oluşu beni korkutuyor. İnsanlar durmadan alıyor, yiyor, tüketiyor. Bu doymamazlık, bu açlık neden?",Bu paragrafta neyden bahsedilmiştir?,Şehrin kalabalığından,Alışverişin gerekliliğinden,Tüketim çılgınlığından,Hayatın zorluğundan
30,Evet,"I. Amaç olunca da insan onu son noktaya kadar götürmek istedi. II. Özgürlük, mutlu bir yaşam için araç olmalıyken amaca dönüştü. III. Oysa her şeyde bir sınır olduğu gibi özgürlükte de bir sınır olmalıydı. IV. İşte sınırsız özgürlük isteği bu yüzden mutsuz hayatlar, mutsuz insanlar ortaya çıkardı.",Yukarıdaki cümlelerle anlamlı bir metin oluşturulduğunda sıralama aşağıdakilerden hangisi olur?,II - III - IV - I,II - I - III - IV,III - IV - II - I,III - II - I - IV
31,Evet,"(I) Kendimize belirlediğimiz hedeflerin ulaşılabilir, mantıklı hedefler olması lazım. (II) Belirlenen hedefler uçuk kaçık olduğunda ulaşılması da imkânsız oluyor. (III) Bu da insanda hayal kırıklığına yol açıyor. (IV) Her zaman, ulaşmak istediğimiz birden çok hedefimiz olmalıdır. (V) Üstelik ulaşabileceğimiz birçok hedefi kaçırmamıza da neden oluyor.",Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır?,I.,II.,III.,IV.
32,Evet,"(I) Türkiye'de sinema, tiyatro eleştirmenleri var ancak şiir eleştirmeni yok. (II) Genç şairler güzel şiirler yazıyorlar. (III) Pek çok şair dile özen gösteriyor. (IV) Fakat bu güzel şiirler değerlendirilmiyor, eleştirilmiyor. (V) Şiirler bir süzgeçten, bir elekten geçirilirse ancak daha güzel, daha üstün şiirler oluşturulabilir.","Numaralanmış cümlelerden hangisi, parçanın anlam bütünlüğünü bozmaktadır?",I.,II.,III.,IV.
33,Evet,"Türkçe, ilk yazılı metinlerimizin bulunduğu 8. yüzyıldan günümüze kadar Türk milletinin dili olarak Türk devletlerinin resmî dili olma özelliğini korumuş ve sürdürmüştür. Dilimizin ilk yazılı metinleri olan Göktürk Kitabeleri, zamanın büyük devlet adamları Bilge Kağan ve Kültigin adına ve onların ağzından yazılmıştır. Kitabeler, onların millete hitabı ve hatta ""millete hesap vermesi""dir. Dolayısıyla Türkçe bu kitabelerde ""devlet dili"" yani ""resmî dil""dir.","Bu parçada, aşağıdakilerden hangisine _değinilmemiştir_?",Türkçenin ilk yazılı metinlerinin ne zaman bulunduğuna,Göktürk Kitabeleri'ne niçin resmi dil dendiğine,Göktürk Kitabeleri'nin kimler adına yazıldığına,Göktürk Kitabeleri'ndeki dilin sade ve gösterişsiz olduğuna
34,Evet,"Nur yağan geceler, gündüzler nerde, Neşe paylaştığım öksüzler nerde, Dost yollar, dost evler, dost yüzler nerde, Huzura erdiğim bayramlar hani?",Bu şiirin ana duygusu aşağıdakilerden hangisidir?,Özlem,Sevgi,Kaygı,Üzüntü
35,Evet,"Yazarın hikâyelerindeki karakterler, çoğunlukla zor koşullar altında yaşayan insanlardır. O, var olma mücadelesi içindeki bu karakterleri, güçlü bir gözlem yeteneğine ve içgörüye dayanarak son derece kanlı canlı biçimde betimler. Hatta yakın arkadaşı olan Cemal Süreya, onun hikâyelerindeki kişiler için şöyle der: ""_Onun kişilerine iğne batırsan kan çıkar._""","Bu metindeki altı çizili cümlede, sözü edilen hikâye karakterlerinin hangi özelliği anlatılmak istenmiştir?",Etkileyiciliği,Özgünlüğü,Gerçekçiliği,Evrenselliği
36,Evet,"Konya Ovası'nın güneydoğu bölümü, kısa bir süre öncesine kadar köylülerin iyi verim aldığı cömert topraklara sahipti. Bu bölge artık bir çölü andırıyor. 2000'li yıllardan önce pek çok insanın ekmek kapısı olan bu topraklar artık terk edilmiş.",Bu parça ile ilgili olarak aşağıdakilerden hangisi _söylenemez_?,Kişileştirme yapılmıştır.,Konya Ovası çöle benzetilmiştir.,Karşılaştırma yapılmıştır.,Sayısal verilerden yararlanılmıştır.
37,Evet,"Mustafa Kemal Atatürk, vatanı ve milleti için canını feda etmekten kaçınmadı. Evet, daha Çanakkale Savaşları sırasında Anafartalar'da en ön safta savaşmıştı. Sakarya Savaşı sırasında ise atından düşmüş, kaburga kemiklerini kırmış, buna rağmen cepheden ayrılmamıştı. ----","Bu diyalogdaki bütünlük dikkate alındığında, boş bırakılan yere gelebilecek _en uygun_ cümle, aşağıdakilerden hangisidir?","""Yurtta sulh, cihanda sulh"" ilkesini işte böyle mücadelelerden sonra benimsemişti.","Bütün kötü koşullara rağmen, Türk milleti için en iyisini hayal etmişti.","Savaşlar değildi onun rüyalarını kaçıran; o, milletine çok güveniyordu.",Atatürk'ün Türk eğitimi için yaptıklarını burada saymakla bitiremeyiz.
